isoa3_id,fc_p_2006_sum,fc_p_2011_sum,fc_p_2016_sum,fc_p_2022_sum,fc_up_2006_sum,fc_up_2011_sum,fc_up_2016_sum,fc_up_2022_sum,ba_p_2006_sum,ba_p_2011_sum,ba_p_2016_sum,ba_p_2022_sum,ba_up_2006_sum,ba_up_2011_sum,ba_up_2016_sum,ba_up_2022_sum,fir_p_2006_result,fir_p_2011_result,fir_p_2016_result,fir_p_2022_result,fl_p_2006_sum,fl_p_2011_sum,fl_p_2016_sum,fl_p_2022_sum,fl_up_2006_sum,fl_up_2011_sum,fl_up_2016_sum,fl_up_2022_sum
SOM,,,"0","0","829773.120570731","829773.120570115","829773.120570864","829773.122444903",,,"0","0","6870.11598298234","1833.67170320581","6600.81915544586","13740.7244230654",,,"1827","1815",,,0,0,44.3016275412256,31.344262993445,95.7110036189372,52.6633712557731
NER,"14366.5559596336","14366.5580429645","14366.5577931845","14385.2560577428","6911.24553122483","6911.26078391233","6911.26078392869","6892.56231386268","174953.19721183","442888.871626517","442230.126367662","426028.526800798","184709.312512675","147228.359167159","588109.812952935","660225.957994413","3964","4265","3824","4483",0.160715291297105,0.0594353859863281,1.48993888071241,0.401247487976074,0.321353816146312,0.118303051696777,2.76426794627781,0.149326994567871
DZA,"62835.5293678272","63434.8765149094","63434.8765149068","71270.2413585493","863441.590712277","862842.219756181","862842.219756221","855006.774291398","4125.8011138772","17091.7342134509","18437.5004942347","22610.096522933","379694.071058203","283200.763476128","306917.84997648","466675.830914751","2140","2571","2540","2585",15.6035727077931,27.5633920093578,32.8908924348941,121.88575219169,257.736448938337,358.785695794157,615.881143134544,928.595721752044
TUN,"6454.4184450529","25839.149462632","25901.7995809587","25901.7853804794","168626.841750066","149241.672724077","149178.996165907","149178.996165914","0.172880382611922","1789.5345341168","844.511987355062","2657.75975565332","1567.42153227584","31268.399041465","22225.2894785042","70198.0942489846","1823","1845","1918","2030",0.415819878026626,2.90514205734337,9.24248862720809,6.02728591835029,37.2270922921552,58.3363013761232,123.196820638191,151.104454832002
LBY,"0","0","0","0","6937.5371095066","6937.53710957736","6937.53710954139","6937.53710944134","0","0","0","0","912.184071598572","2871.28026271782","935.119608106382","2793.92634055518","1817","1826","1827","1815",0,0,0,0,5.05500153566417,1.51127892893641,10.109220750826,0.593252450195313
BFA,"163547.910926917","184742.24384643","184775.955993248","185008.40547457","611903.414689764","590709.339393389","590675.635627491","590443.172963179","3763078.95870948","5039805.24537325","4812065.15473085","4066313.72359906","7381926.37709272","6000615.1426595","2834742.03808478","2650842.72336156","28111","33360","27114","25432",48.2756871664068,74.4612226157492,13.782156133223,15.3945155389663,811.075038748832,1016.64314824651,244.351149126802,164.273174808243
MLI,"130903.45396817","144112.905087195","170783.191632491","170869.877320035","1437224.48854978","1424014.8293952","1397343.95018702","1397257.31497676","1787423.09814517","1501548.01789864","1256072.74333405","1684536.93312464","22789428.5637399","15966578.8366202","13449640.4689032","16261754.9675872","20775","23538","20475","20831",58.0564982037572,73.5373879959469,87.4218384386238,100.685337919944,657.294566286617,740.856622765424,938.358163889072,944.294526590438
BEN,"346052.183284052","346054.697671031","346054.697672506","346054.697670983","1181611.97005944","1181609.45236131","1181609.45236101","1181609.45236426","3858586.5790886","4045193.98483315","3066731.66974955","1971588.41037345","4167950.85925017","3253983.47232025","1360529.04010079","984838.068913697","41315","40602","31419","24417",151.537039318012,198.038203352994,290.132229010519,128.881586574819,1062.90443004481,1327.07649698269,1659.28304062244,1434.7959634319
NGA,"2083005.67617716","2158922.00226296","2159100.42433057","2159134.78786853","9067098.14534298","8991179.82204562","8991001.31475787","8990966.95065705","5370012.25944955","4238535.04997079","5391073.55562101","3464203.24787341","19270257.4833451","8826869.52240699","11412935.5169741","10932023.7123048","77300","81456","65516","63195",772.161506326305,1049.69204874916,1557.7712976048,1885.93150816667,2772.12310735388,4270.50779475263,6987.27261323954,9964.56240414826
STP,"4764.06489281466","4764.06489281469","4764.06489281469","4764.0648928147","5670.05574399921","5670.05574399949","5670.05574400495","5670.0557439993","0","0","0","689.458149804358","0","0","0","2169.38894881595","1817","1826","1827","1816",0.0275759639078775,0,0,0,0.562345908219162,0,0,0
GNQ,"432095.176136525","432095.176136357","432095.176135989","432095.176136162","1897873.62238078","1897873.6223797","1897873.62237821","1897873.62178846","0","0","0","0","9006.2584891082","460.647610080099","1857.8512250734","47.0685566860639","1824","1839","1843","1845",10.1528844228106,23.9670826790204,27.3542992609043,12.8039219877298,108.007440360932,256.581991239593,461.152036239369,332.561232969962
